Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
AF-4 mRNA,L13773_at,639,P,770,P,488,P,843,P,881,P,97,P,914,P,572,P,599,P,1572,P,111,P,503,P,1822,P,602,P,251,P,1384,P,207,P,428,P,286,P,501,P,379,P,312,P,727,P,259,P,584,P,179,P,484,P,310,P,343,P,410,P,517,P,584,P,637,P,211,P,431,P,136,P,1122,P,537,P,"
"
GDP-dissociation inhibitor protein (Ly-GDI) mRNA,L20688_at,14552,P,15979,P,16141,P,16598,P,18074,P,13914,P,16150,P,16449,P,18317,P,22322,P,10127,P,13495,P,18322,P,10248,P,12199,P,17069,P,15833,P,17794,P,12028,P,18931,P,21489,P,22097,P,16789,P,19507,P,15281,P,18813,P,16035,P,14725,P,9764,P,20872,P,8140,P,3910,P,12095,P,8178,P,17432,P,17043,P,18784,P,12303,P,"
"
"Transcription factor ZFM1 isoform B3 mRNA, complete  cds",L49380_at,2763,P,2551,P,2330,P,3160,P,4339,P,2254,P,2715,P,3025,P,2417,P,5126,P,1148,P,1641,P,4999,P,924,P,3977,P,2798,P,2971,P,2619,P,1759,P,2199,P,3308,P,3462,P,4317,P,1784,P,3470,P,2398,P,2553,P,4102,P,2601,P,3773,P,2552,P,3556,P,3274,P,1709,P,1982,P,2961,P,3534,P,2976,P,"
"
HnRNP C2 protein mRNA,M16342_at,1430,P,1370,P,2205,P,1130,P,1118,P,960,P,1928,P,1756,P,1735,P,2945,P,813,P,1198,P,3266,P,1961,P,810,P,2894,P,1120,P,988,P,639,P,2014,P,1804,P,1241,P,2770,P,2542,P,2079,P,1560,P,1309,P,1157,P,985,P,1661,P,1715,P,1330,P,1735,P,1088,P,3010,P,1188,P,1271,P,1728,P,"
"
SET PROTEIN,M93651_at,2392,P,1803,P,2485,P,1970,P,2049,P,1102,P,1721,P,3171,P,2230,P,4392,P,828,P,1487,P,4794,P,1514,P,924,P,2103,P,1731,P,1072,P,1648,P,4588,P,2845,P,1747,P,3985,P,1966,P,3336,P,3444,P,1735,P,1165,P,1195,P,1232,P,1134,P,1095,P,1894,P,1586,P,1853,P,2133,P,2465,P,1373,P,"
"
Zinc finger protein (MAZ) mRNA,M94046_at,4353,P,5041,P,4263,P,5932,P,5928,P,1503,P,4864,P,5491,P,5279,P,8676,P,1666,P,4607,P,7262,P,2844,P,2973,P,6395,P,1983,P,4378,P,3555,P,5115,P,5656,P,5583,P,9388,P,5613,P,7163,P,5508,P,4178,P,4849,P,4075,P,6051,P,4064,P,5105,P,3146,P,3783,P,4358,P,4709,P,5249,P,3377,P,"
"
KH type splicing regulatory protein KSRP mRNA,U94832_at,456,P,319,P,835,P,512,P,329,M,192,P,1155,P,676,P,511,P,1798,P,496,P,505,P,2193,P,564,P,281,P,1098,P,351,P,632,P,147,P,459,P,442,P,362,P,1098,P,573,P,1246,P,643,P,336,P,446,P,432,P,617,P,458,P,603,P,835,P,463,P,456,P,357,P,500,P,578,P,"
"
"GNB1 Guanine nucleotide binding protein (G protein), beta polypeptide 1",X04526_at,2762,P,1909,P,2649,P,2169,P,3365,P,1159,P,2820,P,2863,P,3034,P,3397,P,966,P,2096,P,4455,P,3219,P,2323,P,3467,P,1087,P,2056,P,1432,P,2064,P,2767,P,1900,P,5017,P,2102,P,3320,P,2190,P,1531,P,1515,P,1062,P,2270,P,2066,P,1017,P,1697,P,1669,P,2277,P,1896,P,3046,P,2390,P,"
"
Hnrnp a1 protein gene extracted from Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1,X12671_rna1_at,3354,P,3901,P,6790,P,3110,P,4606,P,3735,P,5823,P,7977,P,6167,P,11665,P,4316,P,5105,P,17781,P,18364,P,5901,P,6107,P,7104,P,7323,P,6071,P,5648,P,5142,P,4500,P,9448,P,5974,P,9400,P,5639,P,5701,P,5142,P,4032,P,4826,P,5417,P,7478,P,10212,P,7805,P,5968,P,3260,P,3718,P,5132,P,"
"
HETEROGENOUS NUCLEAR RIBONUCLEOPROTEIN U,X65488_at,1245,P,1058,P,2007,P,927,P,956,P,329,P,1911,P,2092,P,1414,P,2163,P,622,P,1524,P,3164,P,798,P,630,P,1991,P,904,P,1291,P,694,P,1820,P,1452,P,962,P,1881,P,1444,P,1849,P,1704,P,1602,P,1118,P,615,P,1509,P,618,P,723,P,1965,P,668,P,1124,P,1102,P,1730,P,599,P,"
"
DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex),X66785_at,1854,P,2289,P,906,P,1552,P,1316,P,1076,P,1174,P,1015,P,1246,P,1505,P,573,P,1200,P,1960,P,1885,P,980,P,1724,P,1307,P,1551,P,1687,P,1435,P,1948,P,1646,P,1319,P,1533,P,962,P,2153,P,1441,P,1483,P,976,P,1581,P,1410,P,1353,P,1084,P,672,P,1511,P,1324,P,2228,P,1436,P,"
"
HNRPK Heterogeneous nuclear ribonucleoprotein K,X72727_at,2182,P,1336,P,2417,P,1313,P,2214,P,659,P,2611,P,2586,P,2469,P,4243,P,850,P,1854,P,5955,P,4639,P,2058,P,3378,P,1465,P,2287,P,1034,P,2724,P,2675,P,1191,P,2718,P,1250,P,4192,P,2173,P,1579,P,2538,P,1728,P,1972,P,1670,P,2265,P,2506,P,2134,P,2504,P,1033,P,1744,P,2056,P,"
"
TOP2B Topoisomerase (DNA) II beta (180kD),Z15115_at,8444,P,4261,P,3425,P,3810,P,6152,P,1277,P,6216,P,5831,P,5618,P,3712,P,1616,P,4694,P,11237,P,9114,P,2572,P,6110,P,2242,P,3074,P,5373,P,1920,P,3117,P,1790,P,3302,P,1330,P,2524,P,3382,P,1613,P,2272,P,1082,P,2010,P,802,P,939,P,1238,P,967,P,1364,P,1568,P,1843,P,936,P,"
"
"KIAA0220 gene, partial cds",D86974_at,21011,P,31449,P,12606,P,30265,P,34131,P,9098,P,16617,P,30256,P,27270,P,28937,P,13298,P,33152,P,27348,P,7570,P,11827,P,27983,P,13678,P,12148,P,24894,P,25240,P,14945,P,24722,P,13269,P,6937,P,14046,P,23337,P,29831,P,28709,P,25365,P,12977,P,23356,P,9818,P,14159,P,9487,P,15283,P,13853,P,22262,P,11379,P,"
"
DENN mRNA,AB002356_s_at,1813,P,1502,P,1467,P,1759,P,2112,P,728,P,1442,P,1230,P,1561,P,2894,P,1289,P,1566,P,1738,P,773,P,903,P,1646,P,914,P,1288,P,1686,P,1033,P,1899,P,1171,P,1968,P,862,P,932,P,1369,P,1142,P,2024,P,1625,P,2145,P,983,P,1819,P,2084,P,1329,P,1435,P,1004,P,2166,P,2800,P,"
"
"A-589H1.2 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA",AC002045_xpt2_s_at,2538,P,3237,P,2541,P,2977,P,3140,P,1069,P,2277,P,3629,P,1755,P,5176,P,825,P,1638,P,4647,P,1148,P,1081,P,3714,P,2150,P,1014,P,1586,P,3684,P,2308,P,2519,P,2341,P,1093,P,3164,P,3351,P,2237,P,4374,P,2921,P,2201,P,1859,P,1441,P,2050,P,742,P,2568,P,1158,P,3591,P,1925,P,"
"
"Tumor-associated 120 kDa nuclear protein p120, partial cds(carboxyl terminus)",D13413_rna1_s_at,17139,P,18894,P,15341,P,15251,P,17136,P,19111,P,11793,P,21445,P,20275,P,21767,P,21755,P,16462,P,16412,P,31453,P,20521,P,16553,P,21379,P,20983,P,22464,P,21863,P,18183,P,16876,P,21600,P,16603,P,12753,P,20085,P,21390,P,20598,P,17170,P,17563,P,22007,P,22571,P,21596,P,24529,P,19495,P,10622,P,18224,P,16646,P,"
"
PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,Z49835_s_at,922,P,710,P,1436,P,576,P,433,P,791,P,985,P,1125,P,448,P,2248,P,258,P,542,P,1429,P,197,P,1132,P,1169,P,739,P,190,P,325,P,1230,P,837,P,585,P,1685,P,853,P,1441,P,419,P,491,P,1046,P,757,P,2302,P,1847,P,1292,P,885,P,1087,P,3373,P,1613,P,1073,P,1103,P,"
"
Transformation-Related Protein,HG4541-HT4946_s_at,2215,P,2013,P,1963,P,2143,P,3566,P,1056,P,2085,P,2211,P,2264,P,5668,P,1395,P,1448,P,4018,P,1515,P,1740,P,1972,P,1784,P,1794,P,1858,P,2320,P,3008,P,2094,P,3925,P,2201,P,2588,P,2105,P,2323,P,2222,P,1986,P,4098,P,4556,P,2891,P,2600,P,2884,P,3449,P,2813,P,3457,P,3836,P,"
"
Transcription Factor Iiia,HG4312-HT4582_s_at,3049,P,2558,P,2733,P,1834,P,3362,P,2134,P,2505,P,2533,P,3926,P,11688,P,989,P,2347,P,4728,P,3170,P,1212,P,2914,P,3814,P,2860,P,2559,P,11476,P,5418,P,2272,P,4462,P,2414,P,2744,P,3341,P,3785,P,2493,P,2664,P,2454,P,1349,P,3143,P,2880,P,1268,P,2778,P,3056,P,2220,P,2208,P,"
"
"CALM1 Calmodulin 1 (phosphorylase kinase, delta)",M19311_s_at,6616,P,5419,P,6729,P,4961,P,6008,P,2302,P,8616,P,10439,P,8613,P,15169,P,3332,P,4266,P,14654,P,3208,P,1749,P,7170,P,2641,P,2846,P,2989,P,6774,P,9449,P,6165,P,7825,P,3452,P,3843,P,5725,P,3961,P,1923,P,2459,P,3748,P,2807,P,3024,P,4182,P,5331,P,3834,P,2314,P,3700,P,2827,P,"
"
HLA-B null allele mRNA,D49824_s_at,31086,P,25421,P,29543,P,21000,P,40060,P,25347,P,30797,P,23338,P,14991,P,27223,P,32648,P,31039,P,19077,P,2006,P,39552,P,21307,P,32782,P,31617,P,16504,P,29288,P,14830,P,8097,P,16287,P,10078,P,9072,P,28519,P,4113,P,18132,P,15056,P,37223,P,32195,P,28290,P,29830,P,23866,P,25047,P,19275,P,21173,P,32925,P,"
"
TIAL1 TIA1 cytotoxic granule-associated RNA-binding protein-like 1,M96954_s_at,606,P,548,P,576,P,457,P,347,P,159,P,698,P,1067,P,510,P,667,P,412,P,331,P,936,P,1050,P,417,P,746,P,387,P,425,P,599,P,591,P,817,P,485,P,834,P,588,P,761,P,704,P,677,P,830,P,565,P,496,P,614,P,981,P,386,P,554,P,757,P,449,P,690,P,602,P,"
"
"Ras homologue enriched in brain (RHEB) gene, Ras-related GTP binding protein gene",D78132_s_at,518,P,445,P,828,P,265,P,379,P,231,P,609,P,931,P,488,P,1040,P,237,P,446,P,967,P,1069,P,385,P,963,P,344,P,203,P,309,P,952,P,627,P,318,P,759,P,901,P,1033,P,721,P,652,P,614,P,312,P,1271,P,498,P,686,P,763,P,502,P,1090,P,423,P,677,P,821,P,"
"
"YWHAH Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",D78577_s_at,4256,P,1533,P,2481,P,1643,P,1527,P,2359,P,3568,P,2446,P,2089,P,4050,P,1178,P,1680,P,3099,P,3568,P,945,P,2014,P,1439,P,1765,P,1013,P,2627,P,2038,P,1122,P,3475,P,4391,P,3530,P,3811,P,1152,P,1023,P,747,P,2256,P,1192,P,1279,P,1944,P,1337,P,2469,P,1107,P,2606,P,2564,P,"
"
KIAA0203 gene,Z35085_s_at,644,P,395,P,466,P,415,P,680,P,229,P,649,P,513,P,488,P,1364,P,252,P,251,P,1280,P,422,P,435,P,590,P,206,P,382,P,381,P,647,P,702,P,293,P,571,P,356,P,1011,P,534,P,333,P,699,P,240,P,664,P,576,P,775,P,364,P,390,P,899,P,201,P,493,P,1048,P,"
"
"Small Nuclear Ribonucleoprotein, Polypeptide C, Alt. Splice 2",HG1322-HT5143_s_at,4557,P,3559,P,5988,P,3341,P,2954,P,1990,P,4926,P,5677,P,4997,P,9626,P,2597,P,2618,P,8400,P,4092,P,1715,P,5026,P,3488,P,3073,P,1784,P,5356,P,5515,P,3561,P,8525,P,4887,P,4495,P,3479,P,4159,P,2801,P,2058,P,4313,P,3046,P,2803,P,4598,P,1718,P,5083,P,2503,P,2571,P,4027,P,"
"
RPS3 Ribosomal protein S3,X57351_s_at,16489,P,10996,P,12769,P,16432,P,18890,P,16859,P,14353,P,16638,P,9783,P,25287,P,1182,P,17327,P,20695,P,26510,P,4248,P,19806,P,22578,P,17115,P,13042,P,22665,P,7560,P,4834,P,7916,P,2780,P,2638,P,23424,P,3845,P,5547,P,11269,P,14421,P,4953,P,4673,P,18378,P,3691,P,10460,P,12015,P,20605,P,24890,P,"
"
LAMR1 Laminin receptor (2H5 epitope),M14199_s_at,16528,P,17782,P,18496,P,12445,P,13247,P,17420,P,13180,P,19487,P,19597,P,16602,P,19533,P,15986,P,16688,P,12727,P,15063,P,13937,P,20211,P,20254,P,16205,P,18688,P,14606,P,18939,P,19575,P,15793,P,19113,P,18291,P,20242,P,13796,P,13491,P,12771,P,16394,P,16688,P,17606,P,21519,P,12368,P,11861,P,17183,P,15182,P,"
"
37 kD laminin receptor precursor/p40 ribosome associated protein gene,U43901_rna1_s_at,18573,P,17692,P,17491,P,13949,P,19210,P,18064,P,14291,P,18787,P,19535,P,20518,P,19509,P,14314,P,18874,P,1161,P,18081,P,16642,P,19588,P,19621,P,19844,P,18421,P,18610,P,19492,P,20290,P,17471,P,19188,P,17593,P,21237,P,16414,P,13388,P,17979,P,16801,P,18349,P,20579,P,18506,P,16420,P,13731,P,18535,P,18812,P,"
"
SNRP70 U1 snRNP 70K protein,X04654_s_at,3726,P,2459,P,3489,P,3326,P,4031,P,1030,P,3284,P,4147,P,5658,P,7045,P,1917,P,3135,P,7184,P,1504,P,1336,P,3766,P,2339,P,3158,P,1766,P,2769,P,3638,P,3003,P,4596,P,2721,P,3495,P,2649,P,3406,P,3365,P,2469,P,3337,P,1698,P,3017,P,2578,P,1072,P,1687,P,2365,P,3035,P,2595,P,"
"
"Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Non-Muscle, Alt. Splice 2",HG2815-HT2931_at,10557,P,4773,P,8029,P,4108,P,7135,P,6596,P,8542,P,8443,P,12225,P,8986,P,4415,P,4931,P,15455,P,13192,P,6320,P,8577,P,6286,P,11430,P,2937,P,11742,P,14170,P,8869,P,14989,P,7937,P,9147,P,8075,P,6519,P,5406,P,5551,P,12107,P,9056,P,8113,P,5489,P,7264,P,7434,P,6927,P,7504,P,4651,P,"
"
"Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Smooth Muscle, Alt. Splice 4",HG2815-HT4023_s_at,13706,P,7177,P,9445,P,6698,P,10505,P,7459,P,11793,P,10758,P,16013,P,17068,P,5344,P,7502,P,17604,P,17420,P,6779,P,9241,P,8926,P,14333,P,5552,P,14719,P,16655,P,9305,P,17672,P,11785,P,10499,P,10129,P,6765,P,8946,P,7966,P,16158,P,10815,P,10658,P,8912,P,8937,P,13881,P,8815,P,10754,P,8800,P,"
"
"Heterogeneous Nuclear Ribonucleoprotein K, Alt. Splice 1",HG3076-HT3238_s_at,4094,P,2621,P,4087,P,1863,P,4251,P,1244,P,2966,P,3530,P,3217,P,5765,P,1351,P,2366,P,7284,P,5034,P,2641,P,4645,P,2319,P,2156,P,1786,P,4069,P,5095,P,2429,P,4843,P,1854,P,5780,P,2751,P,3045,P,3525,P,1875,P,4530,P,2908,P,3405,P,4276,P,2166,P,4042,P,2137,P,3936,P,3461,P,"
"
PR264 gene,X75755_rna1_s_at,588,P,439,P,925,P,446,P,655,P,215,P,731,P,585,P,546,P,1018,P,266,P,411,P,1795,P,349,P,264,P,1273,P,539,P,459,P,259,P,840,P,627,P,280,P,1082,P,242,P,593,P,628,P,357,P,510,P,290,P,472,P,265,P,372,P,471,P,238,P,353,P,333,P,505,P,321,P,"
"
Unknown protein gene extracted from Human ribosomal protein S24 mRNA,M31520_rna1_s_at,8818,P,9380,P,8300,P,4333,P,5876,P,5471,P,5870,P,10147,P,8813,P,12250,P,6202,P,7906,P,15039,P,16056,P,7360,P,10600,P,8224,P,9813,P,5904,P,9644,P,8102,P,6280,P,9245,P,6392,P,9297,P,9578,P,6829,P,9593,P,6826,P,5468,P,7603,P,7391,P,9135,P,8639,P,6607,P,5366,P,9066,P,7742,P,"
"
"ACTB Actin, beta",M10277_s_at,15216,P,14893,P,16597,P,13087,P,16827,P,14517,P,18132,P,16741,P,16821,P,15361,P,19147,P,14657,P,13822,P,19267,P,9303,P,15702,P,14124,P,18116,P,19993,P,15643,P,17053,P,25351,P,15241,P,17933,P,16310,P,16023,P,17664,P,15731,P,15191,P,19317,P,15001,P,10310,P,13912,P,10280,P,15417,P,16998,P,15890,P,14383,P,"
"
BETA-2-MICROGLOBULIN PRECURSOR,J00105_s_at,21909,P,18519,P,13909,P,15020,P,24015,P,16810,P,20133,P,21147,P,15167,P,24346,P,18367,P,15719,P,22990,P,10654,P,21461,P,16743,P,21905,P,14999,P,10282,P,21319,P,19956,P,12278,P,19272,P,11619,P,11253,P,19916,P,8668,P,16095,P,16292,P,21580,P,20090,P,12006,P,18350,P,17716,P,21013,P,12164,P,18072,P,20076,P,"
"
Metallothionein isoform 2,V00594_s_at,1024,P,2168,P,2877,P,2034,P,1810,P,8919,P,995,P,1840,P,2850,P,3841,P,9088,P,7170,P,3132,P,1240,P,1018,P,1815,P,10335,P,1865,P,1883,P,5031,P,2012,P,2766,P,4943,P,6690,P,2968,P,3836,P,2126,P,6369,P,3702,P,10651,P,31772,P,2494,P,5558,P,2569,P,13584,P,1636,P,1880,P,6187,P,"
"
mRNA fragment encoding beta-tubulin. (from clone D-beta-1),V00599_s_at,16077,P,11421,P,10273,P,8264,P,11355,P,5868,P,17328,P,14960,P,6919,P,19825,P,15160,P,6596,P,13375,P,5543,P,7605,P,10398,P,7611,P,6395,P,6679,P,7162,P,21270,P,21046,P,21667,P,22157,P,19739,P,7624,P,18322,P,4267,P,4991,P,17550,P,13052,P,10354,P,15984,P,10420,P,7898,P,11414,P,8139,P,11193,P,"
"
Non-histone chromosomal protein HMG-14 mRNA,J02621_s_at,2006,P,1963,P,2833,P,2767,P,1595,P,3516,P,4773,P,3258,P,2875,P,7015,P,1881,P,1428,P,3794,P,6211,P,1561,P,2815,P,8422,P,1838,P,2013,P,4549,P,3199,P,2432,P,5345,P,2821,P,3083,P,2403,P,2072,P,1798,P,1788,P,2805,P,2037,P,2564,P,1912,P,1966,P,2621,P,2103,P,3090,P,2653,P,"
"
ANT2 Adenine nucleotide translocator 2 (fibroblast),J02683_s_at,5765,P,3133,P,3919,P,3143,P,2170,P,4134,P,5435,P,5562,P,3894,P,4431,P,3249,P,2828,P,7823,P,4771,P,2804,P,3568,P,2880,P,2184,P,2251,P,4837,P,5780,P,4914,P,9459,P,6769,P,5639,P,3947,P,4189,P,799,P,2084,P,5865,P,3421,P,2463,P,5549,P,3914,P,3870,P,2987,P,2776,P,3597,P,"
"
SmB protein gene extracted from Human gene for small nuclear ribonucleoproteins SmB and SmB',X52979_rna1_s_at,1962,P,1218,P,2349,P,971,P,887,P,819,P,2433,P,2683,P,1327,P,2976,P,1423,P,1105,P,4031,P,694,P,900,P,1976,P,1601,P,1528,P,988,P,1932,P,3527,P,2407,P,4666,P,2776,P,3488,P,2281,P,2314,P,1190,P,1180,P,2360,P,1865,P,1727,P,2425,P,2551,P,1542,P,1212,P,1626,P,2304,P,"
"
EEF1A1 Translation elongation factor 1-alpha-1,J04617_s_at,14391,P,15147,P,14101,P,25196,P,21684,P,21136,P,16203,P,12889,P,15278,P,13402,P,17723,P,18833,P,9487,P,20459,P,19602,P,15189,P,16094,P,16604,P,23570,P,12824,P,17272,P,26900,P,12002,P,18396,P,14649,P,13734,P,29814,P,15596,P,26632,P,17713,P,14573,P,16833,P,12911,P,20792,P,12531,P,20127,P,15001,P,15654,P,"
"
RPS21 Ribosomal protein S21,L04483_s_at,20649,P,20642,P,21232,P,22111,P,23191,P,23782,P,19472,P,17990,P,22373,P,21104,P,20454,P,22093,P,14404,P,25785,P,21308,P,21394,P,22952,P,20443,P,23120,P,19962,P,22194,P,26448,P,19288,P,21156,P,22022,P,20239,P,28568,P,21030,P,25663,P,21841,P,20556,P,23790,P,20605,P,25323,P,18202,P,22695,P,21600,P,22116,P,"
"
TKT Transketolase (Wernicke-Korsakoff syndrome),L12711_s_at,1893,P,964,P,2281,P,325,P,1179,P,1464,P,1275,P,1397,P,2746,P,3451,P,1524,P,2332,P,6470,P,-128,M,878,P,1905,P,1014,P,3288,P,863,P,2157,P,1321,P,1509,P,3425,P,3246,P,3306,P,1838,P,765,P,920,P,805,P,5977,P,1810,P,1051,P,2241,P,2541,P,4894,P,1972,P,2717,P,3370,P,"
"
DDB1 Damage-specific DNA binding protein 1 (127 kD),U32986_s_at,1389,P,1271,P,961,P,1162,P,1500,P,204,P,1516,P,1539,P,1315,P,3087,P,818,P,1004,P,2883,P,441,P,806,P,1506,P,752,P,1095,P,929,P,586,P,1405,P,1417,P,2573,P,886,P,1822,P,1336,P,1288,P,965,P,1175,P,1151,P,1292,P,1481,P,1135,P,849,P,317,P,623,P,1132,P,1010,P,"
"
EEF1G Translation elongation factor 1 gamma,X05855_s_at,2583,P,1991,P,2527,P,1465,P,2812,P,931,P,2014,P,2826,P,2787,P,6399,P,643,P,1285,P,7726,P,2158,P,1170,P,3235,P,1241,P,1198,P,1472,P,2590,P,3007,P,1541,P,2952,P,948,P,3157,P,2853,P,1399,P,1668,P,1094,P,1838,P,1138,P,1220,P,2062,P,1573,P,1455,P,1045,P,2235,P,1461,P,"
"
"ENO1 Enolase 1, (alpha)",M14328_s_at,2700,P,6276,P,9739,P,4455,P,3323,P,6039,P,7080,P,10803,P,7187,P,13404,P,14767,P,7183,P,10184,P,2394,P,1082,P,8574,P,3911,P,9241,P,5017,P,6638,P,6978,P,5263,P,12124,P,9210,P,7932,P,7850,P,4821,P,11459,P,4897,P,16265,P,7712,P,2974,P,14127,P,7117,P,13909,P,10969,P,17208,P,12680,P,"
"
PTMA gene extracted from Human prothymosin alpha mRNA,M14483_rna1_s_at,18443,P,21771,P,19363,P,15326,P,17346,P,15270,P,9946,P,21908,P,11204,P,10465,P,10737,P,6475,P,15861,P,9913,P,26892,P,13709,P,15685,P,21006,P,12139,P,21084,P,22160,P,26169,P,20381,P,17578,P,13371,P,15571,P,26189,P,11875,P,7860,P,14909,P,14923,P,13105,P,16501,P,8959,P,13299,P,12121,P,14204,P,11461,P,"
"
PTMA Prothymosin alpha,M26708_s_at,13394,P,14004,P,13899,P,17667,P,16112,P,11362,P,13410,P,12420,P,13996,P,13281,P,13733,P,13387,P,12920,P,14896,P,12682,P,15580,P,13793,P,13764,P,15351,P,13249,P,15727,P,17474,P,12874,P,14373,P,12941,P,12669,P,18094,P,13290,P,11844,P,14714,P,11287,P,12793,P,12532,P,10213,P,12003,P,10561,P,12419,P,11996,P,"
"
VIM Vimentin,Z19554_s_at,15009,P,16547,P,18660,P,9147,P,17977,P,4540,P,15822,P,14432,P,17266,P,16164,P,9643,P,3753,P,16305,P,18407,P,12688,P,16543,P,3771,P,10430,P,7337,P,13566,P,18950,P,14522,P,20588,P,22343,P,24049,P,15133,P,9325,P,23306,P,11144,P,25568,P,20249,P,7074,P,18419,P,18510,P,21850,P,20539,P,20754,P,20914,P,"
"
Guanine nucleotide-binding protein G-s-alpha-3 gene extracted from Human guanine nucleotide-binding protein alpha-subunit gene (G-s-alpha),M21142_cds2_s_at,11359,P,8754,P,7882,P,9595,P,10836,P,5924,P,7673,P,11598,P,10160,P,10096,P,4096,P,6095,P,12533,P,8800,P,9227,P,6908,P,7807,P,4816,P,7842,P,9343,P,10402,P,11846,P,11291,P,11296,P,12535,P,9228,P,8905,P,6296,P,4534,P,7937,P,10871,P,10701,P,9503,P,9864,P,10411,P,13324,P,12174,P,8974,P,"
"
"Mitochondrial ubiquinone-binding protein (QP) gene, exon 4",M26730_s_at,1675,P,1664,P,1790,P,903,P,713,P,1293,P,2412,P,2484,P,1866,P,2919,P,1492,P,1126,P,4713,P,6874,P,1471,P,1521,P,1908,P,1734,P,739,P,2077,P,1414,P,1306,P,2144,P,2222,P,2345,P,1736,P,1468,P,2268,P,1471,P,1719,P,1361,P,1398,P,2461,P,2561,P,2413,P,891,P,1837,P,2477,P,"
"
T-CELL SURFACE GLYCOPROTEIN CD3 EPSILON CHAIN PRECURSOR,M23323_s_at,2117,P,1554,P,977,P,2115,P,3531,P,1043,P,1219,P,937,P,1599,P,3421,P,1371,P,1321,P,1771,P,753,P,1787,P,1602,P,1091,P,1454,P,2355,P,7691,P,6288,P,4303,P,9223,P,5266,P,6051,P,5388,P,3435,P,2052,P,1815,P,2236,P,1794,P,2319,P,2132,P,1095,P,2146,P,1459,P,2011,P,2943,P,"
"
SAT Spermidine/spermine N1-acetyltransferase,M24485_s_at,2657,P,2754,P,3113,P,3113,P,2563,P,2368,P,2939,P,5187,P,2916,P,8070,P,4274,P,1839,P,3253,P,795,P,1404,P,3018,P,1327,P,2171,P,1414,P,3766,P,4739,P,3134,P,8371,P,4455,P,3467,P,2284,P,2201,P,4014,P,2034,P,7022,P,4022,P,1462,P,5453,P,5212,P,7207,P,9662,P,11499,P,4124,P,"
"
"Partial cDNA sequence, farnesyl pyrophosphate synthetase like-4",Z47055_s_at,868,P,767,P,708,P,598,P,643,P,459,P,610,P,1116,P,686,P,1087,P,988,P,348,P,1055,P,374,P,231,P,689,P,362,P,571,P,436,P,962,P,1811,P,1040,P,3551,P,844,P,1953,P,989,P,803,P,616,P,543,P,737,P,444,P,389,P,537,P,383,P,472,P,609,P,510,P,275,P,"
"
Casein kinase II beta subunit mRNA,M30448_s_at,2705,P,2992,P,3438,P,2209,P,2380,P,2231,P,3211,P,3497,P,3068,P,7696,P,2346,P,2367,P,7310,P,1948,P,1210,P,3099,P,2937,P,2790,P,1713,P,4017,P,2938,P,3465,P,5818,P,3916,P,3506,P,3965,P,3426,P,3677,P,2582,P,3029,P,3644,P,3593,P,5098,P,3169,P,3056,P,2585,P,4387,P,3333,P,"
"
Casein kinase II subunit beta (EC 2.7.1.37),X57152_rna1_s_at,2464,P,2099,P,1885,P,2197,P,1346,P,1294,P,2476,P,2932,P,1864,P,2237,P,1733,P,922,P,2863,P,1445,P,946,P,2720,P,1604,P,2151,P,1486,P,2200,P,1618,P,2533,P,3455,P,2175,P,2106,P,2049,P,2011,P,1652,P,1211,P,2171,P,2312,P,1301,P,2154,P,1919,P,2260,P,1730,P,2179,P,1252,P,"
"
EEF1G Translation elongation factor 1 gamma,M55409_s_at,11154,P,13764,P,10718,P,8710,P,8850,P,12237,P,12625,P,16357,P,12718,P,18348,P,12151,P,12526,P,19380,P,5330,P,6538,P,15151,P,12089,P,14013,P,12380,P,8499,P,6973,P,8231,P,16429,P,14390,P,15616,P,13614,P,8278,P,12091,P,8709,P,12531,P,12598,P,13931,P,15728,P,13232,P,11453,P,11444,P,13631,P,12884,P,"
"
